Sample_Number,GA_Coverage_Pct,Random_Coverage_Pct
1,88.89,5.56
2,83.33,11.11
3,88.89,11.11
4,94.44,16.67
5,94.44,16.67
6,94.44,16.67
7,94.44,16.67
8,94.44,16.67
9,94.44,16.67
10,94.44,16.67
11,88.89,16.67
12,94.44,16.67
13,94.44,16.67
14,88.89,16.67
15,88.89,16.67
16,94.44,16.67
17,94.44,16.67
18,94.44,16.67
19,94.44,16.67
20,94.44,16.67
21,94.44,16.67
22,100.0,16.67
23,100.0,16.67
24,100.0,16.67
25,100.0,16.67
26,100.0,16.67
27,100.0,16.67
28,100.0,16.67
29,100.0,16.67
30,100.0,16.67
31,100.0,16.67
32,100.0,16.67
33,100.0,16.67
34,100.0,16.67
35,100.0,22.22
36,100.0,22.22
37,100.0,22.22
38,100.0,22.22
39,100.0,22.22
40,100.0,22.22
41,100.0,22.22
42,100.0,22.22
43,100.0,22.22
44,100.0,22.22
45,100.0,22.22
46,100.0,22.22
47,100.0,33.33
48,100.0,33.33
49,100.0,33.33
50,100.0,33.33
51,100.0,33.33
52,100.0,33.33
53,100.0,33.33
54,100.0,33.33
55,100.0,33.33
56,100.0,33.33
57,100.0,33.33
58,100.0,33.33
59,100.0,33.33
60,100.0,33.33
61,100.0,33.33
62,100.0,33.33
63,100.0,33.33
64,100.0,33.33
65,100.0,33.33
66,100.0,33.33
67,100.0,33.33
68,100.0,33.33
69,100.0,33.33
70,100.0,33.33
71,100.0,33.33
72,100.0,33.33
73,100.0,38.89
74,100.0,44.44
75,100.0,44.44
76,100.0,44.44
77,100.0,44.44
78,100.0,44.44
79,100.0,44.44
80,100.0,44.44
81,100.0,44.44
82,100.0,44.44
83,100.0,44.44
84,100.0,44.44
85,100.0,44.44
86,100.0,44.44
87,100.0,44.44
88,100.0,44.44
89,100.0,44.44
90,100.0,44.44
91,100.0,44.44
92,100.0,44.44
93,100.0,50.0
94,100.0,50.0
95,100.0,50.0
96,100.0,50.0
97,100.0,50.0
98,100.0,50.0
99,100.0,50.0
100,100.0,50.0
